,text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders
0,I got sick in December and am only just now fully recovered I missed over 65 days of school,spooomm,"2022-06-09 15:56:52,388",1,A,1,1A1,,-1,-1,,
1,!rp,socio1319,"2022-06-09 15:56:52,527",2,A,1,2A1,,N/A,0,,
2,"= RP Stats = | Current Amount: 14,956 RP || 323 RP has been gained this session. | [Updated 0 secs  ago] (- Powered by TwitchApexStats.com -)",nightbot,"2022-06-09 15:56:54,741",3,A,1,3A1,,N/A,,,
3,@Pr11me_ You buy i eat,tjgruehs,"2022-06-09 15:56:58,572",4,A,1,4A1,,0,0,,
4,how many days are you staying in the hospital for the sergery?,i7amanyq8,"2022-06-09 15:57:02,695",5,A,1,5A1,,0,0,,
5,except no one has said anything about bats. chat is talking about seafood and fruit.,defnotzak,"2022-06-09 15:57:09,957",6,A,1,6A1,,0,0,,
6,@TJgruehs WYA?,pr11me_,"2022-06-09 15:57:14,286",7,A,1,7A1,,0,0,,
7,what color settings do you have? your colors are so vibrant,fatboijimmyttv,"2022-06-09 15:57:15,507",8,A,1,8A1,,0,1,,
8,"I mean where I'm from people eat fried bull testicles so I can't judge anyone
""
",danny_silk,"2022-06-09 15:57:16,350",9,A,1,9A1,,0,0,,
9,was yesterday mad Maggie pushed yall,firefi9hter9940,"2022-06-09 15:57:16,488",10,A,1,10A1,,0,-1,,
10,lol surgery ****,supatec,"2022-06-09 15:57:22,595",11,A,1,11A1,,-1,0,,
11,cloak hates eating that lol,bcost55,"2022-06-09 15:57:29,298",12,A,1,12A1,,-1,-1,,
12,Dick enlargement is a 10  day stay no matter what,tjgruehs,"2022-06-09 15:57:29,459",13,A,1,13A1,,0,0,,
13,where did the holes in the stomach come from?,problymfm,"2022-06-09 15:57:37,034",14,A,1,14A1,,0,0,,
14,ngl a cup of bone broth would make that plate of food straight gas,oghellvis,"2022-06-09 15:57:40,817",15,A,1,15A1,,1,0,,
15,@Pr11me_ IN nebraska middle of nowhere lol,tjgruehs,"2022-06-09 15:57:48,240",16,A,1,16A1,,0,-1,,
16,jus found out my girl of 8 years cheated on me i really think ima kill this bitch lol,supatec,"2022-06-09 15:58:08,676",17,A,1,17A1,,-1,-1,,
17,"@jamiller22 bro just saw I got one of your gifted, thanks homie 🙏🏼🙏🏼",x_fidel_cashflow,"2022-06-09 15:58:13,863",18,A,1,18A1,,1,1,,
18,@TJgruehs I doubt you have Takoyaki in your area LOL. but if you come close to a Japanese market or asian market they have it in the frozen area,pr11me_,"2022-06-09 15:58:27,099",19,A,1,19A1,,1,1,,
19,"I thought clocky was getting a dick reduction bc he's tired of getting knees hit all the time
""
",bslayer95,"2022-06-09 15:58:30,821",20,A,1,20A1,,-1,0,,
20,just kick her out. she belongs to the streets.,defnotzak,"2022-06-09 15:58:33,536",21,A,1,21A1,,-1,-1,,
21,na i got video of me clapping her best friend ima jus torture her,supatec,"2022-06-09 15:59:02,232",22,A,1,22A1,,-1,-1,,
22,"every year where im from they have a "" Testical festival"" Down in ashland, nebraska. you can get anything from bull testicals to squirelle",tjgruehs,"2022-06-09 15:59:04,889",23,A,1,23A1,,0,0,,
23,@SupaTec Not worth it my dude. Plenty of fish in the sea,plentybadapples,"2022-06-09 15:59:07,096",24,A,1,24A1,,0,0,,
24,Supa your hand doesnt count as your girlfriend,pr11me_,"2022-06-09 15:59:15,107",25,A,1,25A1,,-1,0,,
25,!settings,slimcarry,"2022-06-09 15:59:21,688",26,A,1,26A1,,N/A,0,,
26,"CLOAKZY'S COD MW (keybinds are default 400 DPI) -> https://clips.twitch.tv/MoistZealousHareDatSheffy --- !halosettings !apexsettings
""
",nightbot,"2022-06-09 15:59:21,883",27,A,1,27A1,,N/A,,,
27,...so you cheated first?,the_rabid_weasel,"2022-06-09 15:59:26,676",28,A,1,28A1,,-1,0,,
28,lmaoo,supatec,"2022-06-09 15:59:26,750",29,A,1,29A1,,1,1,,
29,I obviously cant spell either,tjgruehs,"2022-06-09 15:59:27,218",30,A,1,30A1,,0,-1,,
30,@SupaTec so why you mad?,duderomski,"2022-06-09 15:59:31,353",31,A,1,31A1,,-1,-1,,
31,"chat fuckin' weird
""
",the_rabid_weasel,"2022-06-09 15:59:32,851",32,A,1,32A1,,-1,-1,,
32,that sounds like a disfunctional relationship,duderomski,"2022-06-09 15:59:45,857",33,A,1,33A1,,-1,-1,,
33,fr,defnotzak,"2022-06-09 15:59:46,674",34,A,1,34A1,,0,0,,
34,bro not literally guna kill her lmao,supatec,"2022-06-09 16:02:09,831",35,A,1,35A1,,-1,-1,,
35,"bro she was slobbing on my knob real good, and then this one time it slipped out and she put it back in @SupaTec",gdtzar,"2022-06-09 16:02:21,525",36,A,1,36A1,,1,0,,
36,@oghellvis facts,supatec,"2022-06-09 16:02:26,874",37,A,1,37A1,,0,0,,
37,"Go bang her friend, if life was a game of chess thats the next move",tjgruehs,"2022-06-09 16:02:30,076",38,A,1,38A1,,0,-1,,
38,that’s od lit,supatec,"2022-06-09 16:02:40,654",39,A,1,39A1,,0,0,,
39,almost half the lobby in the last ring? YEP,dewdflower,"2022-06-09 16:02:41,371",40,A,1,40A1,,0,0,,
40,"in game ofcourse, my mine craft knob",gdtzar,"2022-06-09 16:02:44,238",41,A,1,41A1,,0,0,,
41,@tjgruehs he allegedly already did,defnotzak,"2022-06-09 16:02:47,515",42,A,1,42A1,,0,0,,
42,cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB cloakB,sheeeeshhhh,"2022-06-09 16:02:52,431",43,A,1,43A1,,0,1,,
43,lmao,supatec,"2022-06-09 16:03:18,694",44,A,1,44A1,,1,1,,
44,"@DefNotZak Doubts i have, The force is not strong with this one",tjgruehs,"2022-06-09 16:03:24,888",45,A,1,45A1,,-1,-1,,
45,MY MONEY DONT JIGGLE JIGGLE,bonezyz,"2022-06-09 16:04:07,695",46,A,1,46A1,,0,0,,
46,holy fuck that ult movement,civguy172,"2022-06-09 16:04:14,864",47,A,1,47A1,,1,1,,
47,how did he just live,nobrain0ctane,"2022-06-09 16:04:19,563",48,A,1,48A1,,0,-1,,
48,it’s folds,supatec,"2022-06-09 16:04:22,541",49,A,1,49A1,,0,0,,
49,Your Pullout game is strong,tjgruehs,"2022-06-09 16:04:22,671",50,A,1,50A1,,1,1,,
